OBJECTID,AREA,PERIMETER,DAMS500G_,DAMS500G_I,STATION,NAME,X_COORD,Y_COORD,TYPE,ALIAS,FEAT_ID,AREA_KM2,Shape_Length,Shape_Area
85,4.97875772e-05,0.0410729498,86,45, ,Nooitgedacht 256JR,28.0302391,-25.5143299,RESERVOIR, ,0,4.97875768e-11,0.0410729481503925,4.97875779300146e-05
86,0.000118800097,0.0915479362,87,43,G2R001Q01,Little Marico Poort,26.1396847,-25.5263195,RESERVOIR,Klein Maricopoort,0,1.18800109e-10,0.0915479394284461,0.000118800102717575
87,0.000307120295,0.198858261,88,46,A2R006Q01,Bospoort,27.3308048,-25.5726109,RESERVOIR, ,0,3.07120301e-10,0.198858269087324,0.000307120295928828
88,0.000335217279,0.293881178,89,210,A2R009Q01,Roodeplaat,28.3739605,-25.6239109,RESERVOIR, ,0,3.35217271e-10,0.293881194696618,0.000335217271041529
89,0.00013576237,0.0569318496,90,47,A2R002Q01,Bon Accord,28.1895962,-25.6279907,RESERVOIR, ,0,1.35762374e-10,0.0569318478134516,0.000135762376690898
90,0.00031031805,0.0988063663,91,48, ,Cullinan,28.5188332,-25.6516705,RESERVOIR, ,0,3.10318049e-10,0.0988063662171377,0.000310318067895894
91,7.88726175e-06,0.0254597086,92,110064,A2R013Q01,Swartruggens,26.6925774,-25.66362,RESERVOIR, ,0,7.88726202e-12,0.0254597084224658,7.88726150522608e-06
92,0.000214025873,0.0849205926,93,49,A2R011Q01,Koster,26.9025536,-25.7104492,RESERVOIR, ,0,2.14025866e-10,0.0849205916693645,0.000214025869421545
93,7.45908474e-05,0.101229087,94,110022,X1R004Q01,Driekoppies,31.5320244,-25.7162991,RESERVOIR, ,0,7.45908474e-11,0.10122908824534,7.45908454413371e-05
94,0.00155598251,0.380313367,95,50,A2R001Q01,Hartbeespoort,27.8572559,-25.7468109,RESERVOIR, ,0,1.55598257e-09,0.380313363286915,0.00155598252051539
95,2.76586852e-05,0.0354618654,96,110063,X1R002Q01,Shiyalongubo,31.2655334,-25.7548199,RESERVOIR, ,0,2.76586844e-11,0.0354618651622148,2.76586853911479e-05
96,0.000393363152,0.192454174,97,233,B1R002Q01,Middelburg,29.5540314,-25.7798405,RESERVOIR, ,0,3.93363148e-10,0.192454178145226,0.000393363154685865
97,0.000117309923,0.0692321286,98,52,A2R005Q01,Buffelspoort,27.4890957,-25.7915192,RESERVOIR, ,0,1.17309926e-10,0.069232126617351,0.000117309926913069
98,0.000204077121,0.0908836052,99,51,A2R003Q01,Olifantsnek,27.250639,-25.7948208,RESERVOIR, ,0,2.04077116e-10,0.0908836008102053,0.000204077114940497
99,0.000291273871,0.206096604,100,570,D4R003Q01,Disaneng,25.3433857,-25.8406105,RESERVOIR, ,0,2.91273866e-10,0.206096606226842,0.000291273885863669
100,0.000596036785,0.224136993,101,311,X1R003Q01,Vygeboom,30.6224499,-25.8688107,RESERVOIR, ,0,5.96036775e-10,0.224136998093842,0.000596036785461945
101,9.97312163e-05,0.0678804293,102,110020,D4R004Q01,Modimola,25.5146332,-25.8566208,RESERVOIR, ,0,9.97312163e-11,0.0678804291429878,9.97312232166732e-05
102,0.000181501382,0.141026616,103,54, ,Doringpoort,29.3019085,-25.8649006,RESERVOIR, ,0,1.81501383e-10,0.141026608097002,0.000181501382156172
103,0.000174454326,0.0989921242,104,53,A2R004Q01,Rietvlei,28.2754555,-25.8788109,RESERVOIR, ,0,1.74454326e-10,0.0989921251112546,0.000174454327111225
104,1.28795818e-05,0.0166220907,105,110018,D4H026Q01,Cookes Lake,25.6536312,-25.8672199,RESERVOIR, ,0,1.28795819e-11,0.0166220884242091,1.28795801296566e-05
105,3.53725045e-05,0.0469238833,106,110019,D4H037Q01,Lotlamoreng,25.6008892,-25.8750896,RESERVOIR,Montshioa,0,3.53725035e-11,0.0469238819634266,3.53725059994611e-05
106,3.66704626e-07,0.00270247599,107,53,A2R004Q01,Rietvlei,28.2788677,-25.8765106,ISLAND, ,0,3.66704632e-13,0.00270247655066904,3.66704493750919e-07
107,0.000772705942,0.290195584,108,0,B2R001Q01,Bronkhorstspruit,28.6910248,-25.8975201,RESERVOIR, ,0,7.72705955e-10,0.290195595780492,0.000772705948614092
108,0.000873011595,0.486517757,109,54,B1R001Q01,Witbank,29.3104763,-25.9026394,RESERVOIR, ,0,8.73011607e-10,0.48651777065379,0.000873011612697359
109,0.00063368649,0.293836087,110,312,X1R001Q01,Nooitgedacht,30.0704021,-25.9649506,RESERVOIR, ,0,6.33686492e-10,0.293836087227555,0.000633686491250624
110,0.000643881969,0.186273783,111,63,M1R003Q01,Sand River,31.7033634,-25.9984703,RESERVOIR, ,0,6.43881948e-10,0.186273782027977,0.000643881954776286
111,0.00324110291,0.690211892,112,541, ,Pequenos Libombos,32.2283363,-26.1083298,RESERVOIR, ,0,3.24110294e-09,0.69021191021741,0.00324110292827371
112,4.64282784e-05,0.0435644351,113,61, ,Phoenix,29.1894112,-26.06567,RESERVOIR,Klipplaat14,0,4.64282779e-11,0.043564435557758,4.64282774772224e-05
113,8.06769749e-05,0.0578959696,114,57, ,West End,25.0608807,-26.0686607,RESERVOIR, ,0,8.0676972e-11,0.0578959729879789,8.06769755179186e-05
114,5.15176362e-05,0.03337311,115,110023,X1R005Q01,Maguga,31.2525368,-26.0723705,RESERVOIR, ,0,5.15176374e-11,0.0333731087615661,5.15176328131428e-05
115,7.68404789e-06,0.012106183,116,59, ,Manana026IP,26.2408524,-26.1071701,RESERVOIR, ,0,7.68404784e-12,0.0121061837061443,7.68404932556815e-06
116,5.22144619e-05,0.0369072706,117,60, ,Cashel,25.1102886,-26.1356792,RESERVOIR, ,0,5.22144619e-11,0.0369072680807043,5.22144601689343e-05
117,3.26052905e-05,0.0337297209,118,64, ,Vanryn,28.3535423,-26.1525898,RESERVOIR, ,0,3.260529e-11,0.0337297187879519,3.26052910962434e-05
118,0.000978837255,0.257956624,119,74, ,Fairview,31.6612549,-26.1621094,RESERVOIR, ,0,9.78837233e-10,0.257956628844568,0.000978837289865505
119,1.08560653e-05,0.017492177,120,110010, ,Victor Penning,28.3613091,-26.1581192,RESERVOIR, ,0,1.08560652e-11,0.0174921768173499,1.0856065573295e-05
120,6.47152483e-05,0.0388919674,121,62, ,Tau,25.1359558,-26.1654205,RESERVOIR, ,0,6.47152471e-11,0.0388919705099081,6.471524969801e-05
121,9.2647424e-05,0.0976913571,122,65, ,Klipplaat,29.2184696,-26.1721992,RESERVOIR,"Rietspruit;Rietvlei",0,9.26474245e-11,0.0976913547760899,9.26474216101609e-05
122,4.55223926e-07,0.00261521386,123,110015, , ,29.2120571,-26.1896706,ISLAND, ,0,4.55223912e-13,0.00261521360638845,4.55223813387148e-07
123,7.34619171e-05,0.0487108864,124,67, ,Cowles,28.4587669,-26.2099209,RESERVOIR, ,0,7.34619171e-11,0.048710886382775,7.34619187530759e-05
124,8.21467984e-05,0.0504603721,125,68, ,Alexander,28.4212341,-26.2126293,RESERVOIR, ,0,8.21467963e-11,0.0504603719204428,8.21468014317544e-05
125,0.000362999621,0.126194119,126,66,C2R003Q01,Klerkskraal,27.153326,-26.2414207,RESERVOIR, ,0,3.6299963e-10,0.126194114696032,0.00036299961569576
126,5.76881939e-05,0.0300329477,127,70, ,Jan Smuts,28.3701496,-26.2233601,RESERVOIR, ,0,5.76881945e-11,0.0300329468533947,5.76881956820242e-05
127,8.53391066e-06,0.0112522785,128,69, ,Rosherville,28.1065044,-26.2236004,RESERVOIR, ,0,8.53391056e-12,0.0112522782892192,8.53391074131028e-06
128,7.53940112e-05,0.0380695574,129,72, ,Leeupan Tamboville,28.3140202,-26.2300396,NATURAL, ,0,7.53940105e-11,0.0380695558979186,7.53940108727762e-05
129,5.80365413e-05,0.0330249742,130,71, ,Victoria Lake,28.1605473,-26.22966,NATURAL, ,0,5.80365409e-11,0.0330249749310048,5.80365409984224e-05
130,4.18478085e-05,0.0435201935,131,73, ,Cinderella,28.2401428,-26.2389793,RESERVOIR, ,0,4.18478099e-11,0.0435201935639641,4.18478063773765e-05
